toponym,date,category_id,area_percentage,category,color
Karimama,1983_02_01,n001,3.06122448979592,G Extremey Dry,#C00000FF
Kouandé,1983_03_01,n001,0,G Extremey Dry,#C00000FF
Péhunco,1983_03_01,n001,0,G Extremey Dry,#C00000FF
Kérou,1983_03_01,n001,0,G Extremey Dry,#C00000FF
Banikoara,1983_03_01,n001,0,G Extremey Dry,#C00000FF
Diapaga,1983_03_01,n001,1.49253731343284,G Extremey Dry,#C00000FF
Tansarga,1983_03_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1983_03_01,n001,3.27868852459016,G Extremey Dry,#C00000FF
Parc W,1983_03_01,n001,1.38888888888889,G Extremey Dry,#C00000FF
Tamou,1983_03_01,n001,0,G Extremey Dry,#C00000FF
Kirtachi,1983_03_01,n001,0,G Extremey Dry,#C00000FF
Falmey,1983_03_01,n001,7.5,G Extremey Dry,#C00000FF
Karimama,1983_03_01,n001,0,G Extremey Dry,#C00000FF
Kouandé,1983_04_01,n001,2.80373831775701,G Extremey Dry,#C00000FF
Péhunco,1983_04_01,n001,0,G Extremey Dry,#C00000FF
Kérou,1983_04_01,n001,3.1496062992126,G Extremey Dry,#C00000FF
Banikoara,1983_04_01,n001,0,G Extremey Dry,#C00000FF
Diapaga,1983_04_01,n001,0,G Extremey Dry,#C00000FF
Tansarga,1983_04_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1983_04_01,n001,6.55737704918033,G Extremey Dry,#C00000FF
Parc W,1983_04_01,n001,9.72222222222222,G Extremey Dry,#C00000FF
Tamou,1983_04_01,n001,3.03030303030303,G Extremey Dry,#C00000FF
Kirtachi,1983_04_01,n001,5.40540540540541,G Extremey Dry,#C00000FF
Falmey,1983_04_01,n001,37.5,G Extremey Dry,#C00000FF
Karimama,1983_04_01,n001,15.8163265306122,G Extremey Dry,#C00000FF
Kouandé,1983_05_01,n001,0,G Extremey Dry,#C00000FF
Péhunco,1983_05_01,n001,0,G Extremey Dry,#C00000FF
Kérou,1983_05_01,n001,0,G Extremey Dry,#C00000FF
Banikoara,1983_05_01,n001,0,G Extremey Dry,#C00000FF
Diapaga,1983_05_01,n001,0,G Extremey Dry,#C00000FF
Tansarga,1983_05_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1983_05_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1983_05_01,n001,0,G Extremey Dry,#C00000FF
Tamou,1983_05_01,n001,0,G Extremey Dry,#C00000FF
Kirtachi,1983_05_01,n001,0,G Extremey Dry,#C00000FF
Falmey,1983_05_01,n001,0,G Extremey Dry,#C00000FF
Karimama,1983_05_01,n001,0,G Extremey Dry,#C00000FF
Kouandé,1983_06_01,n001,0,G Extremey Dry,#C00000FF
Péhunco,1983_06_01,n001,0,G Extremey Dry,#C00000FF
Kérou,1983_06_01,n001,0,G Extremey Dry,#C00000FF
Banikoara,1983_06_01,n001,0,G Extremey Dry,#C00000FF
Diapaga,1983_06_01,n001,0,G Extremey Dry,#C00000FF
Tansarga,1983_06_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1983_06_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1983_06_01,n001,0,G Extremey Dry,#C00000FF
Tamou,1983_06_01,n001,0,G Extremey Dry,#C00000FF
Kirtachi,1983_06_01,n001,0,G Extremey Dry,#C00000FF
Falmey,1983_06_01,n001,0,G Extremey Dry,#C00000FF
Karimama,1983_06_01,n001,0,G Extremey Dry,#C00000FF
Kouandé,1983_07_01,n001,0,G Extremey Dry,#C00000FF
Péhunco,1983_07_01,n001,0,G Extremey Dry,#C00000FF
Kérou,1983_07_01,n001,0,G Extremey Dry,#C00000FF
Banikoara,1983_07_01,n001,0,G Extremey Dry,#C00000FF
Diapaga,1983_07_01,n001,0.746268656716418,G Extremey Dry,#C00000FF
Tansarga,1983_07_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1983_07_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1983_07_01,n001,0,G Extremey Dry,#C00000FF
Tamou,1983_07_01,n001,0,G Extremey Dry,#C00000FF
Kirtachi,1983_07_01,n001,0,G Extremey Dry,#C00000FF
Falmey,1983_07_01,n001,0,G Extremey Dry,#C00000FF
Karimama,1983_07_01,n001,3.57142857142857,G Extremey Dry,#C00000FF
Kouandé,1983_08_01,n001,100,G Extremey Dry,#C00000FF
Péhunco,1983_08_01,n001,100,G Extremey Dry,#C00000FF
Kérou,1983_08_01,n001,98.4251968503937,G Extremey Dry,#C00000FF
Banikoara,1983_08_01,n001,58.9041095890411,G Extremey Dry,#C00000FF
Diapaga,1983_08_01,n001,10.4477611940298,G Extremey Dry,#C00000FF
Tansarga,1983_08_01,n001,35.2941176470588,G Extremey Dry,#C00000FF
Bottou,1983_08_01,n001,72.1311475409836,G Extremey Dry,#C00000FF
Parc W,1983_08_01,n001,65.2777777777778,G Extremey Dry,#C00000FF
Tamou,1983_08_01,n001,100,G Extremey Dry,#C00000FF
Kirtachi,1983_08_01,n001,100,G Extremey Dry,#C00000FF
Falmey,1983_08_01,n001,100,G Extremey Dry,#C00000FF
Karimama,1983_08_01,n001,84.6938775510204,G Extremey Dry,#C00000FF
Kouandé,1983_09_01,n001,21.4953271028037,G Extremey Dry,#C00000FF
Péhunco,1983_09_01,n001,12.8571428571429,G Extremey Dry,#C00000FF
Kérou,1983_09_01,n001,0,G Extremey Dry,#C00000FF
Banikoara,1983_09_01,n001,0,G Extremey Dry,#C00000FF
Diapaga,1983_09_01,n001,0,G Extremey Dry,#C00000FF
Tansarga,1983_09_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1983_09_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1983_09_01,n001,0,G Extremey Dry,#C00000FF
Tamou,1983_09_01,n001,0,G Extremey Dry,#C00000FF
Kirtachi,1983_09_01,n001,0,G Extremey Dry,#C00000FF
Falmey,1983_09_01,n001,0,G Extremey Dry,#C00000FF
Karimama,1983_09_01,n001,0,G Extremey Dry,#C00000FF
Kouandé,1983_10_01,n001,94.392523364486,G Extremey Dry,#C00000FF
Péhunco,1983_10_01,n001,42.8571428571429,G Extremey Dry,#C00000FF
Kérou,1983_10_01,n001,85.0393700787402,G Extremey Dry,#C00000FF
Banikoara,1983_10_01,n001,52.0547945205479,G Extremey Dry,#C00000FF
Diapaga,1983_10_01,n001,80.5970149253731,G Extremey Dry,#C00000FF
