name,spi_cat,time,value,month
Banikoara,007 G Extremey Dry,1985-01-01,30.8219178082192,gen
Banikoara,006 F Severely Dry,1985-01-01,0.684931506849315,gen
Banikoara,005 E Moderately Dry,1985-01-01,2.05479452054794,gen
Banikoara,004 D Normal,1985-01-01,66.4383561643836,gen
Banikoara,003 C Moderately Wet,1985-01-01,0,gen
Banikoara,002 B Severely Wet,1985-01-01,0,gen
Banikoara,001 A Extremely Wet,1985-01-01,0,gen
Banikoara,007 G Extremey Dry,1985-02-01,0.684931506849315,feb
Banikoara,006 F Severely Dry,1985-02-01,5.47945205479452,feb
Banikoara,005 E Moderately Dry,1985-02-01,22.6027397260274,feb
Banikoara,004 D Normal,1985-02-01,71.2328767123288,feb
Banikoara,003 C Moderately Wet,1985-02-01,0,feb
Banikoara,002 B Severely Wet,1985-02-01,0,feb
Banikoara,001 A Extremely Wet,1985-02-01,0,feb
Banikoara,007 G Extremey Dry,1985-03-01,0,mar
Banikoara,006 F Severely Dry,1985-03-01,0,mar
Banikoara,005 E Moderately Dry,1985-03-01,0,mar
Banikoara,004 D Normal,1985-03-01,85.6164383561644,mar
Banikoara,003 C Moderately Wet,1985-03-01,14.3835616438356,mar
Banikoara,002 B Severely Wet,1985-03-01,0,mar
Banikoara,001 A Extremely Wet,1985-03-01,0,mar
Banikoara,007 G Extremey Dry,1985-04-01,0,apr
Banikoara,006 F Severely Dry,1985-04-01,0,apr
Banikoara,005 E Moderately Dry,1985-04-01,8.21917808219178,apr
Banikoara,004 D Normal,1985-04-01,91.7808219178082,apr
Banikoara,003 C Moderately Wet,1985-04-01,0,apr
Banikoara,002 B Severely Wet,1985-04-01,0,apr
Banikoara,001 A Extremely Wet,1985-04-01,0,apr
Banikoara,007 G Extremey Dry,1985-05-01,2.73972602739726,mag
Banikoara,006 F Severely Dry,1985-05-01,13.6986301369863,mag
Banikoara,005 E Moderately Dry,1985-05-01,60.2739726027397,mag
Banikoara,004 D Normal,1985-05-01,23.2876712328767,mag
Banikoara,003 C Moderately Wet,1985-05-01,0,mag
Banikoara,002 B Severely Wet,1985-05-01,0,mag
Banikoara,001 A Extremely Wet,1985-05-01,0,mag
Banikoara,007 G Extremey Dry,1985-06-01,34.9315068493151,giu
Banikoara,006 F Severely Dry,1985-06-01,39.041095890411,giu
Banikoara,005 E Moderately Dry,1985-06-01,25.3424657534247,giu
Banikoara,004 D Normal,1985-06-01,0.684931506849315,giu
Banikoara,003 C Moderately Wet,1985-06-01,0,giu
Banikoara,002 B Severely Wet,1985-06-01,0,giu
Banikoara,001 A Extremely Wet,1985-06-01,0,giu
Banikoara,007 G Extremey Dry,1985-07-01,0,lug
Banikoara,006 F Severely Dry,1985-07-01,0,lug
Banikoara,005 E Moderately Dry,1985-07-01,13.6986301369863,lug
Banikoara,004 D Normal,1985-07-01,86.3013698630137,lug
Banikoara,003 C Moderately Wet,1985-07-01,0,lug
Banikoara,002 B Severely Wet,1985-07-01,0,lug
Banikoara,001 A Extremely Wet,1985-07-01,0,lug
Banikoara,007 G Extremey Dry,1985-08-01,0,ago
Banikoara,006 F Severely Dry,1985-08-01,0,ago
Banikoara,005 E Moderately Dry,1985-08-01,2.05479452054794,ago
Banikoara,004 D Normal,1985-08-01,97.9452054794521,ago
Banikoara,003 C Moderately Wet,1985-08-01,0,ago
Banikoara,002 B Severely Wet,1985-08-01,0,ago
Banikoara,001 A Extremely Wet,1985-08-01,0,ago
Banikoara,007 G Extremey Dry,1985-09-01,0,set
Banikoara,006 F Severely Dry,1985-09-01,0,set
Banikoara,005 E Moderately Dry,1985-09-01,0,set
Banikoara,004 D Normal,1985-09-01,93.1506849315068,set
Banikoara,003 C Moderately Wet,1985-09-01,6.84931506849315,set
Banikoara,002 B Severely Wet,1985-09-01,0,set
Banikoara,001 A Extremely Wet,1985-09-01,0,set
Banikoara,007 G Extremey Dry,1985-10-01,0,ott
Banikoara,006 F Severely Dry,1985-10-01,0,ott
Banikoara,005 E Moderately Dry,1985-10-01,1.36986301369863,ott
Banikoara,004 D Normal,1985-10-01,98.6301369863014,ott
Banikoara,003 C Moderately Wet,1985-10-01,0,ott
Banikoara,002 B Severely Wet,1985-10-01,0,ott
Banikoara,001 A Extremely Wet,1985-10-01,0,ott
Banikoara,007 G Extremey Dry,1985-11-01,0,nov
Banikoara,006 F Severely Dry,1985-11-01,0,nov
Banikoara,005 E Moderately Dry,1985-11-01,4.79452054794521,nov
Banikoara,004 D Normal,1985-11-01,95.2054794520548,nov
Banikoara,003 C Moderately Wet,1985-11-01,0,nov
Banikoara,002 B Severely Wet,1985-11-01,0,nov
Banikoara,001 A Extremely Wet,1985-11-01,0,nov
Banikoara,007 G Extremey Dry,1985-12-01,0,dic
